,ID,lon,lat,easting,northing,projection,elevation,gw_bore_depth,gw_level,gw_level_std
119702,40031543.0,146.575583636,-19.296920187,455409.7305001175,7866263.878851784,55.0,46.81246886322897,25.0,14.64890625,2.182674046029534
119704,40031816.0,147.089820173,-19.51495299,509424.10596322216,7842190.0723368935,55.0,4.572779559998494,8.0,2.1,0.0
119705,40151797.0,151.285555522,-29.093135448,917244.5785957731,6774099.347387729,56.0,315.42136616458987,94.3,7.9934375,2.66356153647588
119706,40153274.0,151.33148319,-27.70877928,927254.3666942143,6927538.30245568,56.0,374.5535136000003,38.1,20.287238095238102,0.8940166135007891
119707,40151862.0,150.7206526,-28.63959684,863780.3783616365,6826276.537979198,56.0,242.0,89.7,1.6622222222222225,0.5229690708158393
119708,40151863.0,150.7206526,-28.63959684,863780.3783616365,6826276.537979198,56.0,242.0,89.7,4.8487096774193565,0.3392662094492899
119709,40152074.0,148.17534225,-28.68773014,614825.0004214286,6826044.999652637,55.0,166.49922097802363,42.6,17.723750000000006,0.16007322543136318
119710,40152309.0,151.25990758,-27.57565811,920697.1075055456,6942554.2893229695,56.0,359.0,51.8,15.695490196078431,2.5126698404342878
119711,40153448.0,151.906686597,-27.693939594,984132.3698240451,6927051.188331755,56.0,484.716126921233,65.1,12.15935064935065,1.3731462948917363
119712,40153495.0,151.8595539,-27.37416789,980870.5095685192,6962729.946025265,56.0,436.86648449548585,24.4,8.477142857142857,1.1803451587893905
119713,40153544.0,151.98724230000002,-28.04544313,990500.2036751895,6887710.229119729,56.0,468.0786251999961,19.0,7.372533333333334,0.90630692863339
119714,40153590.0,151.863834477,-27.711087266,979823.1117477976,6925316.009252794,56.0,466.41970416700025,74.3,16.27935483870968,5.858195767323165
119715,40153974.0,148.49215230000001,-27.85167727,646921.9998410238,6918333.99977523,55.0,215.13195515038302,88.4,32.61818181818182,4.2200762987109774
119716,40153991.0,148.595788728,-27.826878589,657163.5632882791,6920953.101189055,55.0,212.72301738145032,42.6,14.610714285714286,0.21733661468246146
119717,40034993.0,152.27018229700002,-24.719125387,1033507.6435979244,7255872.600845488,56.0,6.285682131406201,7.9,3.6546153846153846,0.3157924192741268
119718,40035401.0,148.199699319,-20.04094386,625469.4037632544,7783537.634119326,55.0,13.746048825861696,7.6,4.5,0.0
119722,40017652.0,149.144620637,-21.2543470249,722546.6686414515,7648192.306177142,55.0,10.94766929465233,20.42,-8.29,0.0
119726,40031806.0,146.59201375799998,-19.221978164,457116.4671883367,7874560.591482766,55.0,18.475106884443964,44.5,7.6,0.0
119728,40037607.0,148.967514525,-21.2340645434,704190.7687118482,7650677.325894593,55.0,34.41225479199983,25.0,-7.0,0.0
119729,40037656.0,148.950044219,-21.1842943722,702445.0384656255,7656210.499682872,55.0,40.07374791904065,24.1,-0.7,0.0
119730,40037687.0,149.17099973700002,-21.1762440396,725403.6337006672,7656803.607386724,55.0,5.680420786839633,12.5,-1.53,0.0
119731,40038028.0,149.149765383,-21.2317588178,723114.7433229012,7650686.324909575,55.0,8.639631358408376,18.29,-4.72,0.0
119732,40048198.0,148.24226308,-25.41916485,624933.9995496231,7188055.999910247,55.0,501.1418710778498,204.0,-14.61,0.0
119733,40051259.0,149.082169332,-21.178851952,716173.9550057974,7656638.590101602,55.0,17.113297280000644,6.5,-2.0,0.0
119734,40054329.0,149.13851599999998,-24.5724529,716570.9110992993,7280711.356295804,55.0,245.80709489789098,198.0,-9.91,0.5600000000000005
119736,40066576.0,149.117311899,-21.181902533,719819.2226731738,7656252.450200388,55.0,14.09426816000265,13.5,-3.0,0.0
119737,40070357.0,149.2527314,-24.580178699999998,728127.5104581619,7279671.027479589,55.0,159.3131690860148,683.0,-86.02,0.0
119739,40021663.0,147.49144019999997,-28.71751016,547996.1246927518,6823212.276002995,55.0,152.1885531329789,541.94,-47.01800000000001,14.012395084352994
119743,40044500.0,146.569928685,-19.171726128,454781.3419324768,7880115.521151063,55.0,13.337303778978354,5.49,0.7,0.0
119744,40054209.0,149.16783869999998,-24.533417899999996,719609.4111072369,7284988.985005127,55.0,219.55648474466432,189.0,-22.72,0.0
119749,40061954.0,150.4175724,-28.591078999999997,834281.142648659,6832543.317701539,56.0,223.03816800000249,381.5,-7.79,0.1299999999999999
